"Country";"value_2010";"value_2011";"value_2012";"value_2013";"value_2014";"value_2015";"value_2016";"value_2017";"value_2018";"value_2019";"value_2020";"value_2021"
"Viet Nam";0.75707;0.75298;0.74936;0.74537;0.7416;0.73877;0.73488;0.73007;0.72665;0.72304;0.7199;0.71588
"Wallis and Futuna Islands";0.88292;0.87964;0.87702;0.87422;0.87094;0.86687;0.86447;0.86226;0.85898;0.85505;0.85215;0.84953
"Wallis and Futuna Islands";0.88292;0.87964;0.87702;0.87422;0.87094;0.86687;0.86447;0.86226;0.85898;0.85505;0.85215;0.84953
"Western Sahara";0.93768;0.93765;0.93747;0.93722;0.93693;0.93671;0.9364;0.93626;0.93592;0.93558;0.93537;0.93521
"Yemen";0.86718;0.86489;0.86194;0.85934;0.85648;0.85307;0.85083;0.84769;0.84523;0.84154;0.84075;0.83738
"Zambia";0.87632;0.87636;0.87631;0.8763;0.87623;0.87633;0.87634;0.87638;0.87642;0.8764;0.87638;0.87636
"Zimbabwe";0.79612;0.79552;0.79509;0.79463;0.79419;0.79376;0.79335;0.79304;0.79264;0.79229;0.79199;0.79161
"Afghanistan";0.83671;0.83662;0.83657;0.83651;0.83644;0.83639;0.83632;0.83623;0.83618;0.83613;0.83605;0.83602
"Afghanistan";0.83671;0.83662;0.83657;0.83651;0.83644;0.83639;0.83632;0.83623;0.83618;0.83613;0.83605;0.83602
"Åland Islands";0.99039;0.98997;0.98955;0.98896;0.98836;0.98777;0.98717;0.98717;0.98717;0.98717;0.98717;0.98717
"Albania";0.86343;0.86043;0.85846;0.85619;0.85337;0.85116;0.84864;0.84674;0.84299;0.84087;0.83833;0.8354
"Algeria";0.91081;0.91065;0.91056;0.91039;0.9103;0.91005;0.90996;0.9099;0.90977;0.90962;0.90949;0.90928
"American Samoa";0.86778;0.86738;0.86727;0.86713;0.86574;0.86517;0.86387;0.86434;0.8645;0.86354;0.8629;0.86251
"American Samoa";0.86778;0.86738;0.86727;0.86713;0.86574;0.86517;0.86387;0.86434;0.8645;0.86354;0.8629;0.86251
"Andorra";0.91174;0.91172;0.91167;0.91163;0.91159;0.9115;0.91133;0.91117;0.9109;0.91067;0.91043;0.91016
"Angola";0.92864;0.92866;0.92861;0.92858;0.92863;0.92854;0.92856;0.92853;0.92851;0.92858;0.92852;0.92849
"Anguilla";0.93438;0.93357;0.93219;0.93032;0.92949;0.92813;0.92651;0.92537;0.92435;0.92255;0.92093;0.92029
"Antigua and Barbuda";0.90855;0.90679;0.90442;0.90232;0.90033;0.89843;0.89569;0.89438;0.89201;0.88957;0.88714;0.88508
"Argentina";0.84526;0.84496;0.84477;0.84455;0.84424;0.84406;0.84382;0.84355;0.84334;0.84296;0.84294;0.8428
"Armenia";0.82909;0.82908;0.82908;0.82908;0.82908;0.82908;0.82908;0.82908;0.82908;0.82909;0.82909;0.82909
"Aruba";0.95844;0.95849;0.95854;0.95856;0.95858;0.95859;0.95862;0.95864;0.95868;0.9587;0.95873;0.95875
"Australia";0.85009;0.84713;0.84361;0.84077;0.83721;0.83435;0.83117;0.82844;0.82581;0.8211;0.8187;0.81593
"Austria";0.89463;0.89466;0.8947;0.89473;0.89476;0.89481;0.89484;0.89488;0.89491;0.89495;0.89498;0.89502
"Azerbaijan";0.9118;0.91189;0.91197;0.91238;0.9124;0.91241;0.91219;0.91244;0.91236;0.91236;0.91257;0.91248
"Bahamas";0.71652;0.71527;0.71402;0.71243;0.71104;0.7088;0.70697;0.70462;0.70226;0.69952;0.69759;0.69454
"Bahrain";0.78275;0.77947;0.77651;0.7734;0.7695;0.76746;0.76364;0.76124;0.75797;0.75372;0.75148;0.74857
"Bangladesh";0.78736;0.78449;0.77924;0.77682;0.77256;0.76798;0.7642;0.76053;0.75469;0.75124;0.74841;0.7441
"Bangladesh";0.78736;0.78449;0.77924;0.77682;0.77256;0.76798;0.7642;0.76053;0.75469;0.75124;0.74841;0.7441
"Barbados";0.90754;0.90699;0.90528;0.90441;0.90325;0.90201;0.90059;0.89968;0.89886;0.89738;0.89608;0.89529
"Belarus";0.9585;0.96001;0.96157;0.96276;0.96402;0.96531;0.96682;0.96793;0.96943;0.97085;0.97203;0.97305
"Belgium";0.98247;0.98257;0.9827;0.98283;0.98295;0.98303;0.98313;0.9832;0.98333;0.98349;0.98367;0.98374
"Belize";0.78247;0.78158;0.7806;0.77991;0.77871;0.77785;0.77643;0.77556;0.77419;0.77301;0.77208;0.77132
"Benin";0.90539;0.90544;0.90544;0.90544;0.90541;0.90539;0.90541;0.90542;0.90539;0.90535;0.90539;0.9054
"Bermuda";0.62506;0.62357;0.62243;0.62078;0.61935;0.61724;0.61726;0.61565;0.614;0.6137;0.61127;0.61034
"Bhutan";0.80076;0.80035;0.80012;0.80007;0.79968;0.79937;0.79926;0.79906;0.79854;0.79845;0.79805;0.79785
"Bhutan";0.80076;0.80035;0.80012;0.80007;0.79968;0.79937;0.79926;0.79906;0.79854;0.79845;0.79805;0.79785
"Bolivia (Plurinational State of)";0.8842;0.88376;0.88334;0.88301;0.88272;0.8824;0.8824;0.88207;0.88184;0.88166;0.88154;0.88113
"Bosnia and Herzegovina";0.89938;0.89941;0.89946;0.89949;0.89951;0.89954;0.89958;0.89962;0.89966;0.8997;0.89973;0.89975
"Botswana";0.97622;0.97599;0.97577;0.97574;0.9757;0.97569;0.97568;0.97567;0.97567;0.97567;0.97568;0.97568
"Brazil";0.90491;0.90383;0.903;0.90235;0.90177;0.90093;0.90061;0.90015;0.89971;0.89907;0.89872;0.89828
"British Indian Ocean Territory";0.84076;0.83687;0.83187;0.82668;0.82047;0.81638;0.81096;0.80601;0.8036;0.79657;0.79162;0.78657
"British Virgin Islands";0.77306;0.77189;0.77048;0.76969;0.76814;0.76715;0.76586;0.76482;0.76352;0.76197;0.7608;0.75987
"Brunei Darussalam";0.85833;0.85768;0.85747;0.85728;0.85685;0.85647;0.85609;0.8555;0.85535;0.85518;0.85472;0.85456
"Bulgaria";0.93555;0.93555;0.93555;0.93555;0.93554;0.93554;0.93553;0.93552;0.93552;0.93551;0.93551;0.93551
"Burkina Faso";0.98726;0.98702;0.98693;0.98687;0.98682;0.98678;0.98676;0.98674;0.9867;0.98668;0.98666;0.98661
"Burundi";0.8913;0.89128;0.89127;0.89125;0.89124;0.89122;0.89121;0.89121;0.89119;0.89119;0.89118;0.89117
"Cabo Verde";0.90334;0.90354;0.9037;0.90395;0.90421;0.90428;0.90458;0.90469;0.90499;0.90513;0.90523;0.90539
"Cambodia";0.81219;0.80958;0.80747;0.80392;0.8011;0.79873;0.79513;0.79307;0.79033;0.78751;0.78455;0.78221
"Cameroon";0.8391;0.83905;0.839;0.83884;0.83882;0.83881;0.83862;0.83856;0.83862;0.83851;0.83845;0.83852
"Canada";0.96629;0.96608;0.96585;0.96555;0.96527;0.96504;0.96474;0.96454;0.96435;0.96415;0.96386;0.96375
"Cayman Islands";0.83102;0.82978;0.8286;0.82778;0.82637;0.82552;0.82412;0.82286;0.822;0.82083;0.82005;0.81846
"Central African Republic";0.93615;0.93611;0.93597;0.93587;0.93584;0.93581;0.93579;0.93583;0.93572;0.93566;0.93569;0.93568
"Chad";0.91658;0.91619;0.91585;0.91547;0.91521;0.91485;0.91462;0.91438;0.91419;0.91392;0.91374;0.91355
"Chile";0.79893;0.79617;0.79224;0.78896;0.78542;0.78151;0.7779;0.77415;0.77012;0.76743;0.76335;0.75961
"China";0.76953;0.76637;0.76302;0.76046;0.75537;0.75203;0.74857;0.74595;0.74242;0.7391;0.73461;0.7312
"China, Hong Kong Special Administrative Region";0.84222;0.84207;0.84194;0.8418;0.84163;0.84147;0.84138;0.84115;0.84103;0.84089;0.84078;0.84064
"China, Macao Special Administrative Region";0.92464;0.92429;0.92396;0.92366;0.92332;0.92304;0.92278;0.92257;0.92224;0.922;0.92175;0.92155
"Christmas Island";0.54197;0.53332;0.5242;0.51641;0.50466;0.49709;0.48789;0.47732;0.46862;0.45963;0.44924;0.44085
"Cocos (Keeling) Islands";0.81456;0.81028;0.80687;0.80441;0.80017;0.79498;0.79106;0.78948;0.78474;0.78195;0.77881;0.77573
